country,cases,death,revovery
Belize,"70,782",688,"70,085"
Curaçao,"45,986",295,"44,720"
Guyana,"73,286","1,298","71,955"
Eswatini,"74,670","1,425","73,116"
French Polynesia,"78,596",649,N/A
Malawi,"88,728","2,686","85,651"
Côte d'Ivoire,"88,331",835,"87,497"
New Caledonia,"79,922",314,"79,605"
Suriname,"82,563","1,406",N/A
DR Congo,"96,890","1,467","84,489"
French Guiana,"98,041",420,"11,254"
Channel Islands,"101,717",228,"101,321"
Barbados,"107,794",593,"106,971"
Cameroon,"125,087","1,972","122,807"
Angola,"105,384","1,934","103,419"
Malta,"118,858",840,"117,491"
Senegal,"88,999","1,971","87,024"
Rwanda,"133,194","1,468","131,647"
Namibia,"171,310","4,091","167,099"
Ghana,"171,657","1,462","170,161"
Cambodia,"138,887","3,056","135,798"
Uganda,"170,775","3,632","100,431"
Jamaica,"155,063","3,550","102,987"
Maldives,"186,683",316,"163,687"
El Salvador,"201,785","4,230","179,410"
Guadeloupe,"202,836","1,017",N/A
Kyrgyzstan,"206,890","2,991","196,406"
Iceland,"209,191",229,N/A
Laos,"218,380",758,N/A
Martinique,"229,975","1,102",N/A
Trinidad and Tobago,"191,496","4,390","187,078"
Afghanistan,"222,997","7,923","202,549"
Uzbekistan,"253,662","1,637","241,486"
Mozambique,"233,417","2,243","228,805"
Montenegro,"291,921","2,828","288,628"
Zimbabwe,"265,289","5,702","258,888"
Nigeria,"266,675","3,155","259,953"
Algeria,"271,851","6,881","183,059"
Brunei Darussalam,"308,777",225,"243,601"
Botswana,"329,953","2,801","327,049"
Kenya,"343,312","5,688","337,309"
Luxembourg,"319,959","1,232","316,690"
Albania,"334,726","3,602","329,428"
Zambia,"345,961","4,060","340,833"
Republic of North Macedonia,"348,281","9,677","337,068"
Oman,"399,449","4,628","384,669"
Réunion,"486,588",921,"418,572"
Armenia,"449,213","8,750","435,162"
Honduras,"472,619","11,116",N/A
China,"503,302","5,272","379,053"
Bosnia and Herzegovina,"403,030","16,348","379,084"
Ethiopia,"500,920","7,574","488,153"
Estonia,"619,148","3,001","524,990"
Libya,"507,266","6,437","500,827"
Qatar,"514,336",690,"513,437"
Egypt,"516,023","24,613","442,182"
Venezuela,"552,695","5,856","546,537"
Moldova,"620,656","12,123","504,142"
Cyprus,"660,854","1,364","546,203"
Dominican Republic,"661,596","4,384","644,785"
Kuwait,"665,955","2,570","660,237"
Sri Lanka,"672,528","16,877","655,647"
State of Palestine,"621,008","5,404","615,445"
Myanmar,"639,740","19,494","618,738"
Paraguay,"811,204","19,961",N/A
Azerbaijan,"831,894","10,281","821,599"
Bahrain,"722,320","1,566","720,660"
Saudi Arabia,"841,469","9,646","827,923"
Latvia,"978,074","6,377","971,406"
Belarus,"994,037","7,118","985,592"
Nepal,"1,003,361","12,031","991,322"
Uruguay,"1,038,774","7,634","1,030,944"
Ecuador,"1,062,275","36,019","942,651"
Panama,"1,042,631","8,634","1,032,845"
Mongolia,"1,010,034","2,179","941,511"
Tunisia,"1,153,361","29,423",N/A
Cuba,"1,114,669","8,530","1,105,984"
United Arab Emirates,"1,067,030","2,349","1,054,525"
Costa Rica,"1,234,384","9,382","860,711"
Bolivia,"1,201,671","22,387","1,170,245"
Lebanon,"1,238,411","10,932","1,087,587"
Guatemala,"1,257,291","20,205","1,232,923"
Lithuania,"1,321,137","9,691","1,310,759"
Morocco,"1,274,180","16,297","1,256,151"
Bulgaria,"1,308,683","38,412","1,268,437"
Croatia,"1,273,959","18,269","1,255,516"
Slovenia,"1,344,191","7,100","1,328,006"
Kazakhstan,"1,411,831","13,848","1,383,020"
Norway,"1,485,364","5,556","1,429,233"
Finland,"1,481,587","9,886","1,457,246"
Jordan,"1,746,997","14,122","1,731,007"
Ireland,"1,713,340","9,028","262,338"
Georgia,"1,843,707","17,087","1,776,548"
Pakistan,"1,581,155","30,661","1,538,689"
Slovakia,"1,866,857","21,167","1,844,976"
North Korea,"4,772,813",74,"4,772,739"
Thailand,"4,749,910","34,292","4,692,636"
Belgium,"4,800,759","34,364","4,462,999"
Malaysia,"5,112,019","37,118","5,057,145"
Ukraine,"5,557,995","112,418","4,904,953"
Israel,"4,827,640","12,552","4,798,473"
Chile,"5,288,075","64,497","5,223,494"
Portugal,"5,590,870","26,824","4,237,853"
Austria,"6,080,088","22,523","6,053,532"
Colombia,"6,369,916","142,780","6,190,683"
Greece,"6,095,350","37,052","4,389,584"
Poland,"6,517,599","119,623","5,335,940"
Indonesia,"6,811,201","161,844","6,639,751"
Iran,"7,612,352","146,291","7,368,396"
Taiwan,"10,239,998","19,005","10,075,840"
Mexico,"7,630,448","334,276","6,882,799"
Netherlands,"8,610,372","22,992","8,445,834"
Argentina,"10,056,300","130,514","9,064,882"
Vietnam,"11,619,451","43,206","10,639,819"
Spain,"13,905,048","121,622","13,740,203"
Australia,"11,672,767","21,463","11,609,163"
Turkey,"17,232,066","102,174",N/A
United Kingdom,"24,618,436","226,278","22,954,691"
South Korea,"32,018,486","34,960","17,120,321"
Italy,"25,887,444","190,706","25,580,707"
Brazil,"37,639,324","703,399","36,249,161"
Germany,"38,428,685","174,352","38,240,600"
Russia,"22,949,243","399,339","22,389,297"
India,"44,993,579","531,897","44,459,838"
France,"40,124,889","167,548","15,867,601"
Japan,"33,803,572","74,694",N/A
United States,"107,246,335","1,167,381","105,380,329"
